"","licensed_tournament","tournament_competition","realistic_accurate","challenge","compete","strategy_tactics","team_group_crew_squad","enemy","attack","defend","fast","move_special_move"
"616326",1,1,1,1,1,0,0,0,0,0,0,0
"618273",0,1,0,0,0,1,0,0,0,0,0,0
"624639",0,1,1,0,0,0,1,0,0,0,0,0
"625123",0,1,1,0,0,0,1,1,0,0,0,0
"627288",0,1,0,0,0,0,1,0,0,0,0,0
"627462",0,0,0,0,0,0,1,0,0,0,0,0
"630498",0,0,1,0,0,0,0,0,1,1,0,0
"632493",0,0,1,0,0,0,0,0,0,0,0,0
"933010",0,0,0,0,0,0,0,0,0,0,1,0
"996445",0,0,1,0,1,0,0,0,1,0,1,1
