"","team_group_crew_squad","licensed_content_video_games","war","human_race_mankind","battle","death","army","just_name","evil","enemy","level_stage","city","story","destroy_devastate_wreck","magic","soldier","arcade","attack","weapon","puzzle","mission","realistic_accurate"
"935835",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"943385",0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"943502",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"945048",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"953957",0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0
"956484",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"958390",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"959209",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
"960313",0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"960525",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"971389",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
