"","action","licensed_content_video_games","puzzle","human_race_mankind","horde_wave_mass","level_stage","enemy","city","evil","destroy_devastate_wreck","realistic_accurate","army","hero","dangerous","magic","fast","mystery","team_group_crew_squad","licensed_content_cultural_products","weapon","rescue"
"930069",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"942613",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"944469",1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"948787",0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"950801",0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"951202",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"951732",0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
"952299",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"954334",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"954473",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"954814",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"954862",1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"955111",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"955236",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"955441",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"955479",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"956128",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"957669",1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"957674",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"958333",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"958943",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"959661",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
"959697",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"960170",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"960531",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"960593",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"961434",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"971686",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"973240",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"974362",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"974793",0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"975512",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"977451",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"978341",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"979859",0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"981298",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"981383",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
